key;en;nl;FR;de
Address;Street, number and bus;Straat, nummer en bus;Rue, numéro et boite;Straße, Nummer und Postfach
Birthdate;Date of birth;Geboortedatum;Date de naissance;Geburtsdatum
E-mail;E-mail;E-mail;E-mail;E-Mail
First name;First name;Voornaam ;Prénom ;Vorname 
Last name;Name;Naam;Nom;Name
Male;Male;Man;Homme;Herr
Female;Female;Vrouw;Femme;Frau
News checkbox label;I would like to be notified of news of National Lottery. do you want to be the first to play our jackpots and discover are promotions <a href='#'>privacy statement</a>;Ik blijf graag op de hoogte van nieuws van de Nationale Loterij. Wil je onze jackpots, spelen en acties als eerste ontdekken? Vink dan dit hokje aan! Je kan op elk moment uitschrijven of je voorkeuren aanpassen: zie onze <a href='#'>privacyverklaring</a>;Souhaitez-vous recevoir toutes les actus de la Loterie Nationale ? Voulez-vous être informé(e) en primeur de nos Jackpots, jeux et actions ? Cochez cette case ! Vous pouvez vous désinscrire ou adapter vos préférences à tout moment en consultant notre section <a href='#'>vie privée</a>.;Ich möchte über Neuigkeiten aus der Nationallotterie informiert bleiben. Möchten Sie als Erster unsere Jackpots, Spiele und Aktionen entdecken? Dann kreuzen Sie dieses Kästchen an! Sie können sich jederzeit abmelden oder Ihre Einstellungen ändern: siehe unsere <a href='#'>Datenschutzerklärung</a>
Number id card;Number id card;Nummer identiteitskaart;Numéro de la carte d'identité;Nummer Personalausweis
Password;Password;Wachtwoord;Mot de passe;Passwort
Repeat password;Repeat password;Herhaal wachtwoord;Répétez le mot de passe;Passwort wiederholen
Personal information;Personal information;Persoonlijke informatie;Informations personnelles;Persönliche Informationen
Place;Area code/place ;Postcode/plaats;Code postal/localité;Postleitzahl/Ort
You are 18+;You are 18+;Je bent 18+;Vous avez 18+;Sie sind 18+
Social security number;Social security number;Rijksregisternummer;Numéro de Registre national;Nationale Registrierungsnummer
Terms and conditions label;"I accept the <a href=""#"">general conditions</a>";"Ik heb kennis genomen van en aanvaard de <a href=""#"">algemene voorwaarden</a> van de Nationale Loterij en ik geniet van de voordelen.";"J'ai pris connaissance des <a href=""#"">conditions générales</a> de la Loterie Nationale et je profite de ses avantages.";"Ich habe die <a href=""#"">Allgemeinen Geschäftsbedingungen</a> der Nationallotterie gelesen, akzeptiere sie und genieße die Vorteile."
password description;Your password must consist of 8 characters. Use a combination of letters, numbers and/or symbols;Je wachtwoord moet uit 8 tekens bestaan. Gebruik een combinatie van letters en cijfers en/of symbolen;Votre mot de passe doit contenir 8 caractères. Utilisez une combinaison de lettres et de chiffres et/ou de symboles.;Ihr Passwort muss aus 8 Zeichen bestehen. Verwenden Sie eine Kombination aus Buchstaben, Zahlen und/oder Symbolen.
Your favorite store;Your favorite store;Je favoriete winkelpunt (optioneel);Votre point de vente favori (facultatif);Ihre bevorzugte Verkaufsstelle (optional)
login;Login;Inloggen;Se connecter;Anmelden 
forgot password;Forgot pasword;Wachtwoord vergeten?;Mot de passe oublié ?;Passwort vergessen?
stay logged in;Stay logged in;Ingelogd blijven ;Restez connecté;Angemeldet bleiben
Card information;Card information;Je kaartgegevens;Les données de votre carte;Ihre Kartendaten
Card number;Card number;Kaartnummer;Numéro de carte;Kartennummer
Your e-mail;Your e-mail this will also be your login);Je e-mail (dit wordt ook je login);Votre e-mail (il sera utilisé comme login);Ihre E-Mail (dies ist auch Ihr Login)
verify consent;When you created your card, you already agreed. Is still oké?;Toen je het formulier in ons verkooppunt invulde, ging je hier al mee akkoord. Is dit nog steeds oké?;Vous avez rempli un formulaire dans notre point de vente et avez donné votre accord. Êtes-vous toujours d'accord ?;Mit dem Ausfüllen des Formulars an unserer Verkaufsstelle haben Sie dem bereits zugestimmt. Ist das noch immer in Ordnung?
Terms and conditions lc label;"I accept the <a href=""#"">general conditions</a> and become member of <a href=""#"">Lottery Club</a>";"Ik nam kennis van en aanvaard de <a href=""#"">algemene voorwaarden</a> van de Nationale Loterij en ik geniet van de voordelen.";"J'ai pris connaissance des <a href=""#"">conditions générales</a> de la Loterie Nationale et je profite de ses avantages.";"Ich habe die <a href=""#"">Geschäftsbedingungen</a> der Nationallotterie gelesen, akzeptiere sie und genieße die Vorteile."
Your address;Your address;Je adres;Votre adresse;Ihre Adresse
residence sub title ;To open a gaming account, you must be a Belgian resident;Om een speelrekening te openen, moet je in België woonachtig zijn.;Pour ouvrir votre compte de jeu, vous devez être domicilié en Belgique.;Um ein Spielkonto zu eröffnen, müssen Sie in Belgien wohnhaft sein.
age requirement sub title;To open a gaming account, you must be at least 18 years old, be a Belgian resident etc;Om een speelrekening te openen moet je minstens 18 jaar zijn, in België wonen en geregistreerd zijn in het Belgische Rijksregister.;Pour ouvrir votre compte de jeu, vous devez avoir minimum 18 ans, habiter en Belgique et être enregistré auprès du Registre national belge.;Um ein Spielkonto zu eröffnen, müssen Sie mindestens 18 Jahre alt sein, in Belgien wohnen und im belgischen Nationalregister eingetragen sein.
All frequently asked questions;All frequently asked questions;Alle veelgestelde vragen;Toutes les questions fréquentes;Alle häufig gestellten Fragen
Of which game?;Of which game?;Voor welk spel?;Ou quel jeu ? ;Für welches Spiel?
For which draw date?;For which draw date?;Voor welke trekking?;Pour quelle date de tirage ? ;Für welche Ziehung?
Become a member;Become a member;Word lid;Devenir membre;Mitglied werden
More info;More info;Meer info;Plus d'info;Mehr Info
Send;Send;Verstuur;Envoyer;Senden
Last 4 digits of you bank account number;Last 4 digits of your bank account number;Laatste 4 cijfers van je bankrekeningnummer;Les 4 derniers chiffres de votre numéro de compte bancaire;Die letzten 4 Ziffern Ihrer Bankkontonummer
password requirements;Your password must consist of 8 characters. Use a combination of letters, numbers and/or symbols.;Je wachtwoord moet uit 8 tekens bestaan. Gebruik een combinatie van letters en cijfers en/of symbolen.;Votre mot de passe doit contenir 8 caractères. Utilisez une combinaison de lettres et de chiffres et/ou de symboles.;Ihr Passwort muss aus 8 Zeichen bestehen. Verwenden Sie eine Kombination aus Buchstaben, Zahlen und/oder Symbolen.
logout;Sign out;Afmelden;Se déconnecter;Abmelden 
january;January;januari;janvier;Januar
february;February ;februari;février;Februar
march;March;maart;mars;März
april;April;april;avril;April
may;May;mei;mai;Mai
june;July;juni;juin;Juni
august;August;augustus;aôut;August
